player_name,plus_minus,eFG_avg,winning_perct,total_games,pts,Score,year_count,plus_minus_x,eFG_avg_x,winning_perct_x,total_games_x,pts_x,Score_x,year_count_x,plus_minus_y,eFG_avg_y,winning_perct_y,total_games_y,pts_y,Score_y,year_count_y,total_year_count,total_score,avg_score,Rank
Jae Crowder,2.8375,50.75282308657466,60.0,80,11.8875,27.530080771643664,1,2.71875,54.4280442804428,65.625,32,9.970588235294116,25.15030151128717,1,-1.9384615384615385,52.13143872113677,44.61538461538462,65,10.523076923076925,24.342859680284192,1,3,24.663709101052763,8.221236367017587,163
Avery Bradley,-1.2857142857142858,47.86184210526316,49.2063492063492,63,9.920634921,23.206730367804678,1,-1.4,59.09090909090909,40.0,10,8.5,22.022727272727273,1,3.73469387755102,52.61096605744125,73.46938775510205,49,8.63265306122449,25.389476208237863,1,3,24.606989129114083,8.202329709704694,164
Meyers Leonard,-1.2622950819672132,64.87603305785123,57.377049180327866,61,5.852459016,25.3337623625874,1,-1.3333333333333333,64.28571428571428,66.66666666666666,3,3.333333333333333,21.221428571428568,1,1.5098039215686274,62.17948717948718,66.66666666666666,51,6.0588235294117645,25.440950226244347,1,3,24.59168650209834,8.19722883403278,165
Pat Connaughton,1.9180327868852456,56.00000000000001,70.49180327868852,61,6.901639344,25.19508196705574,1,4.090909090909091,57.38636363636363,60.60606060606061,33,6.571428571428571,23.992478354978353,1,1.1940298507462686,54.65116279069768,79.1044776119403,67,5.373134328358209,24.49040263797293,1,3,24.426051747828154,8.142017249276051,166
Thaddeus Young,1.6543209876543212,55.70749108204518,58.024691358024704,81,12.64197531,28.876872771326113,1,3.7666666666666666,61.86131386861313,50.0,30,12.15625,27.70074513381995,1,-3.28125,51.331114808652245,34.375,64,10.296875,23.10934120216306,1,3,24.315998566952594,8.105332855650865,167
Ricky Rubio,3.6764705882352944,45.821917808219176,58.82352941176471,68,12.70588235,26.339302979701852,1,-4.882352941176472,44.70338983050847,20.588235294117645,34,8.0,17.484670987038882,1,2.2461538461538457,47.109826589595386,49.23076923076921,65,13.03076923076923,25.868995108937305,1,3,24.21564567809585,8.071881892698617,168
Tony Bradley,-6.0,50.0,66.66666666666666,3,5.666666667,17.883333333533333,1,-0.08333333333333333,56.410256410256395,41.66666666666667,12,4.785714285714286,19.63649267399267,1,-0.1896551724137931,67.46031746031747,62.06896551724138,58,4.913793103448277,25.76938970990695,1,3,24.148507483905412,8.049502494635137,169
Georges Niang,-1.4406779661016949,59.39226519337015,69.49152542372882,59,3.983050847,23.302303586203553,1,3.75,56.58682634730538,75.0,36,5.289473684210527,23.807890797352666,1,-0.5909090909090909,57.7639751552795,62.12121212121213,66,5.9393939393939394,24.262963485789573,1,3,24.123915953122893,8.04130531770763,170
Austin Rivers,1.3157894736842106,49.650349650349646,59.21052631578946,76,8.131578947000001,24.38100846499794,1,-2.238095238095238,53.33333333333334,47.61904761904761,21,7.333333333333332,20.604761904761904,1,1.1911764705882353,51.69660678642715,63.235294117647065,68,8.764705882352942,25.04253404954796,1,3,24.12190334136325,8.040634447121084,171
Markelle Fultz,-0.4736842105263158,43.225806451612904,63.157894736842096,19,8.157894737000001,19.69066213931375,1,-3.625,41.346153846153854,75.0,8,12.875,21.305288461538463,1,-0.8194444444444444,48.83419689119171,45.83333333333333,72,12.083333333333336,25.145354778353482,1,3,24.104606883038493,8.034868961012831,172
